Sample,Period,Year,NDVI,Stage
48,Q3,2020,0.35853657,Panen
49,Q3,2020,0.34093902,Panen
50,Q3,2020,0.16693419,Panen
1,Q4,2020,0.7317104,Pembibitan
2,Q4,2020,0.3691994,Pembibitan
3,Q4,2020,0.6242486,Pembibitan
4,Q4,2020,0.6688095,Pembibitan
5,Q4,2020,0.66662586,Pembibitan
6,Q4,2020,0.6842665,Pembibitan
7,Q4,2020,0.40772972,Pembibitan
8,Q4,2020,0.65230614,Pembibitan
9,Q4,2020,0.72762454,Pembibitan
10,Q4,2020,0.3691994,Pembibitan
11,Q4,2020,0.66056657,Pembibitan
12,Q4,2020,0.37411883,Pembibitan
13,Q4,2020,0.6552097,Pembibitan
14,Q4,2020,0.7262613,Pembibitan
15,Q4,2020,0.6756829,Pembibitan
16,Q4,2020,0.6687382,Pembibitan
17,Q4,2020,0.26157826,Pembibitan
18,Q4,2020,0.6791717,Pembibitan
19,Q4,2020,0.3326713,Pembibitan
20,Q4,2020,0.6555858,Pembibitan
21,Q4,2020,0.67700297,Pembibitan
22,Q4,2020,0.33537206,Pembibitan
23,Q4,2020,0.6773608,Pembibitan
24,Q4,2020,0.7295691,Pembibitan
25,Q4,2020,0.6854389,Pembibitan
26,Q4,2020,0.35373318,Pembibitan
27,Q4,2020,0.6737854,Pembibitan
28,Q4,2020,0.45178172,Pembibitan
29,Q4,2020,0.72762454,Pembibitan
30,Q4,2020,0.3669468,Pembibitan
31,Q4,2020,0.6551155,Pembibitan
32,Q4,2020,0.40505052,Pembibitan
33,Q4,2020,0.72391385,Pembibitan
34,Q4,2020,0.33654332,Pembibitan
35,Q4,2020,0.3532785,Pembibitan
36,Q4,2020,0.3668465,Pembibitan
37,Q4,2020,0.42298168,Pembibitan
38,Q4,2020,0.2838743,Pembibitan
39,Q4,2020,0.44950494,Pembibitan
40,Q4,2020,0.7020712,Pembibitan
41,Q4,2020,0.73240453,Pembibitan
42,Q4,2020,0.72416425,Pembibitan
43,Q4,2020,0.6786869,Pembibitan
44,Q4,2020,0.7272618,Pembibitan
45,Q4,2020,0.62483895,Pembibitan
46,Q4,2020,0.70756304,Pembibitan
47,Q4,2020,0.47880843,Pembibitan
48,Q4,2020,0.37617955,Pembibitan
49,Q4,2020,0.66826725,Pembibitan
50,Q4,2020,0.7128335,Pembibitan
1,Q2,2021,0.42840648,Tumbuh
2,Q2,2021,0.6320917,Tumbuh
3,Q2,2021,0.27830574,Tumbuh
4,Q2,2021,0.41526893,Tumbuh
5,Q2,2021,0.4551835,Tumbuh
6,Q2,2021,0.23556271,Tumbuh
7,Q2,2021,0.67225325,Tumbuh
8,Q2,2021,0.3597944,Tumbuh
9,Q2,2021,0.41558814,Tumbuh
10,Q2,2021,0.6320917,Tumbuh
11,Q2,2021,0.4517852,Tumbuh
12,Q2,2021,0.5692898,Tumbuh
13,Q2,2021,0.4087781,Tumbuh
14,Q2,2021,0.23599052,Tumbuh
15,Q2,2021,0.42039838,Tumbuh
16,Q2,2021,0.54005307,Tumbuh
17,Q2,2021,0.65965855,Tumbuh
18,Q2,2021,0.36809012,Tumbuh
19,Q2,2021,0.68369997,Tumbuh
20,Q2,2021,0.23610376,Tumbuh
21,Q2,2021,0.216414,Tumbuh
22,Q2,2021,0.6969301,Tumbuh
23,Q2,2021,0.27420172,Tumbuh
24,Q2,2021,0.44936532,Tumbuh
25,Q2,2021,0.23960695,Tumbuh
26,Q2,2021,0.72760427,Tumbuh
27,Q2,2021,0.41921532,Tumbuh
28,Q2,2021,0.62306756,Tumbuh
29,Q2,2021,0.41558814,Tumbuh
30,Q2,2021,0.6876474,Tumbuh
31,Q2,2021,0.22537042,Tumbuh
32,Q2,2021,0.628873,Tumbuh
33,Q2,2021,0.41327026,Tumbuh
34,Q2,2021,0.67599785,Tumbuh
35,Q2,2021,0.67255104,Tumbuh
36,Q2,2021,0.6947419,Tumbuh
37,Q2,2021,0.6851093,Tumbuh
38,Q2,2021,0.66099834,Tumbuh
39,Q2,2021,0.6114422,Tumbuh
40,Q2,2021,0.22346368,Tumbuh
41,Q2,2021,0.4361717,Tumbuh
42,Q2,2021,0.3428715,Tumbuh
43,Q2,2021,0.25529265,Tumbuh
44,Q2,2021,0.35108835,Tumbuh
45,Q2,2021,0.30097574,Tumbuh
46,Q2,2021,0.41435516,Tumbuh
47,Q2,2021,0.59311944,Tumbuh
48,Q2,2021,0.61403507,Tumbuh
49,Q2,2021,0.2323981,Tumbuh
50,Q2,2021,0.4379615,Tumbuh
1,Q3,2021,0.27245888,Panen
2,Q3,2021,0.3698506,Panen
3,Q3,2021,0.09344952,Panen
4,Q3,2021,0.16493313,Panen
5,Q3,2021,0.2801303,Panen
6,Q3,2021,0.21121314,Panen
7,Q3,2021,0.46443516,Panen
8,Q3,2021,0.26540777,Panen
9,Q3,2021,0.24555416,Panen
10,Q3,2021,0.3698506,Panen
11,Q3,2021,0.22772278,Panen
12,Q3,2021,0.328656,Panen
13,Q3,2021,0.08136721,Panen
14,Q3,2021,0.29982892,Panen
15,Q3,2021,0.114254326,Panen
16,Q3,2021,0.3778761,Panen
17,Q3,2021,0.48494765,Panen
